iter	Passed	Remaining
0	133	133556
1	135	67701
2	136	45449
3	138	34427
4	139	27699
5	141	23365
6	143	20339
7	144	17930
8	147	16189
9	148	14668
10	149	13457
11	151	12438
12	151	11537
13	152	10748
14	154	10138
15	156	9618
16	157	9111
17	158	8673
18	159	8236
19	160	7885
20	161	7539
21	163	7256
22	164	6983
23	165	6719
24	166	6491
25	168	6318
26	169	6101
27	170	5908
28	171	5731
29	172	5565
30	172	5403
31	173	5259
32	174	5125
33	175	4992
34	176	4870
35	177	4753
36	178	4642
37	179	4536
38	179	4433
39	180	4335
40	181	4248
41	182	4161
42	183	4077
43	184	3998
44	184	3919
45	185	3843
46	186	3775
47	186	3706
48	187	3640
49	188	3576
50	188	3515
51	189	3454
52	190	3395
53	190	3339
54	191	3284
55	191	3231
56	192	3180
57	192	3130
58	193	3082
59	193	3035
60	194	2990
61	194	2946
62	195	2904
63	195	2863
64	196	2827
65	197	2791
66	197	2756
67	198	2721
68	199	2688
69	199	2655
70	200	2621
71	200	2589
72	201	2558
73	201	2527
74	202	2497
75	203	2468
76	203	2440
77	204	2412
78	204	2385
79	205	2358
80	205	2332
81	206	2307
82	206	2280
83	206	2255
84	207	2232
85	207	2209
86	208	2187
87	208	2165
88	209	2143
89	209	2122
90	210	2102
91	211	2086
92	212	2067
93	212	2051
94	213	2033
95	213	2015
96	214	1998
97	215	1980
98	215	1962
99	216	1945
100	216	1928
101	217	1911
102	217	1895
103	218	1879
104	218	1864
105	219	1848
106	219	1833
107	220	1818
108	220	1804
109	221	1789
110	221	1775
111	222	1761
112	222	1748
113	223	1734
114	223	1721
115	224	1708
116	224	1695
117	225	1683
118	225	1671
119	226	1661
120	227	1650
121	227	1639
122	228	1628
123	228	1616
124	229	1605
125	229	1594
126	230	1582
127	230	1571
128	231	1561
129	231	1550
130	232	1540
131	232	1530
132	233	1520
133	233	1510
134	234	1500
135	234	1490
136	235	1481
137	235	1472
138	236	1463
139	236	1454
140	237	1445
141	237	1435
142	238	1427
143	238	1418
144	239	1409
145	239	1401
146	240	1393
147	240	1384
148	241	1377
149	242	1372
150	242	1364
151	243	1357
152	243	1349
153	244	1341
154	244	1334
155	245	1327
156	245	1319
157	246	1312
158	246	1305
159	247	1298
160	247	1290
161	248	1283
162	248	1276
163	249	1269
164	249	1263
165	250	1256
166	250	1250
167	251	1243
168	251	1237
169	252	1231
170	252	1224
171	253	1218
172	253	1212
173	254	1206
174	254	1200
175	255	1194
176	255	1188
177	256	1184
178	257	1179
179	257	1174
180	258	1168
181	258	1163
182	259	1157
183	259	1152
184	260	1146
185	260	1141
186	261	1135
187	261	1130
188	262	1125
189	262	1120
190	263	1115
191	263	1110
192	264	1105
193	264	1099
194	265	1094
195	265	1090
196	266	1085
197	266	1080
198	267	1075
199	267	1070
200	268	1065
201	268	1061
202	269	1056
203	269	1051
204	270	1047
205	270	1043
206	271	1039
207	272	1035
208	272	1031
209	273	1027
210	273	1023
211	274	1018
212	274	1014
213	275	1010
214	275	1006
215	276	1002
216	276	997
217	277	993
218	277	989
219	278	985
220	278	981
221	279	977
222	279	974
223	280	970
224	280	966
225	281	962
226	281	958
227	282	955
228	282	951
229	283	947
230	283	943
231	284	940
232	284	936
233	285	933
234	285	930
235	286	926
236	287	924
237	287	921
238	288	918
239	288	914
240	289	911
241	289	907
242	290	904
243	290	900
244	291	897
245	291	894
246	292	891
247	292	887
248	293	884
249	293	881
250	294	877
251	294	874
252	295	871
253	295	868
254	296	865
255	296	861
256	297	858
257	297	855
258	298	852
259	298	849
260	299	847
261	299	844
262	300	841
263	300	838
264	301	835
265	302	833
266	302	831
267	303	829
268	304	826
269	304	823
270	305	821
271	306	819
272	306	816
273	307	813
274	307	811
275	308	808
276	308	805
277	309	803
278	309	800
279	310	797
280	310	795
281	311	792
282	311	789
283	312	787
284	313	786
285	314	785
286	315	782
287	315	780
288	316	777
289	316	775
290	317	773
291	318	771
292	318	768
293	319	766
294	319	764
295	320	762
296	321	761
297	322	758
298	322	756
299	323	753
300	323	751
301	324	749
302	324	746
303	325	744
304	325	741
305	326	739
306	326	737
307	327	735
308	327	732
309	328	732
310	329	730
311	330	727
312	330	725
313	331	723
314	331	721
315	332	719
316	333	717
317	333	715
318	334	713
319	335	712
320	335	710
321	336	708
322	336	706
323	337	704
324	337	701
325	338	699
326	338	697
327	339	695
328	339	693
329	340	691
330	341	689
331	341	687
332	342	685
333	342	683
334	343	681
335	343	679
336	344	677
337	345	675
338	345	673
339	346	672
340	347	671
341	348	670
342	348	668
343	349	666
344	350	665
345	351	665
346	352	663
347	353	661
348	353	659
349	354	658
350	354	656
351	355	654
352	355	652
353	356	650
354	357	649
355	358	648
356	358	646
357	359	644
358	360	642
359	360	641
360	361	639
361	361	637
362	362	635
363	363	634
364	364	633
365	365	632
366	365	630
367	366	629
368	366	627
369	367	625
370	367	623
371	368	621
372	368	620
373	369	618
374	370	617
375	371	616
376	371	614
377	372	613
378	373	612
379	374	610
380	374	608
381	376	608
382	377	607
383	378	607
384	379	606
385	380	605
386	381	603
387	383	605
388	384	604
389	385	602
390	386	601
391	386	600
392	387	598
393	388	597
394	388	595
395	389	593
396	389	592
397	390	590
398	391	589
399	391	587
400	392	585
401	393	585
402	394	584
403	395	583
404	396	582
405	396	580
406	397	579
407	398	577
408	398	575
409	399	574
410	399	573
411	401	572
412	402	572
413	403	570
414	403	568
415	404	567
416	404	565
417	405	563
418	405	562
419	406	560
420	406	559
421	408	559
422	409	558
423	409	556
424	410	555
425	411	554
426	411	552
427	412	550
428	412	549
429	413	548
430	415	547
431	415	546
432	416	545
433	416	543
434	417	542
435	418	540
436	418	539
437	419	537
438	420	537
439	421	536
440	421	534
441	422	533
442	423	532
443	424	531
444	425	530
445	425	529
446	426	527
447	427	526
448	427	524
449	428	523
450	429	522
451	429	521
452	430	519
453	430	518
454	431	516
455	432	516
456	434	515
457	435	515
458	438	517
459	440	516
460	443	518
461	444	517
462	445	516
